intake_type,in_date,pet_name,animal_type,pet_age,pet_size,color,breed,sex,url_link,crossing
OWNER SUR,1/28/2024,OSCAR,OTHER,6 YEARS,SMALL,BROWN,TURTLE,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A451630&location=MONT,
OWNER SUR,1/28/2024,FRANKLIN,OTHER,10 YEARS,MED,RED,TURTLE / REDEARED SLIDER,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A439979&location=MONT,
OWNER SUR,2/5/2024,*RITA,DOG,2 YEARS,MED,BRINDLE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A507522&location=MONT,
OWNER SUR,1/28/2024,YERTLE,OTHER,7 YEARS,SMALL,GREEN,TURTLE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A444157&location=MONT,
EUTH REQ,12/8/2023,NOVA,DOG,2 YEARS,MED,TAN / WHITE,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A513554&location=MONT,
OWNER SUR,1/28/2024,SHELLDON,OTHER,10 YEARS,SMALL,BROWN,TURTLE / REDEARED SLIDER,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A439968&location=MONT,
OWNER SUR,1/13/2024,VIVI,OTHER,5 YEARS,SMALL,BROWN,TURTLE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A514757&location=MONT,
FOSTER,3/24/2024,QUEEN,DOG,5 YEARS,MED,TAN / WHITE,PHARAOH HOUND / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516426&location=MONT,
OWNER SUR,2/10/2024,*SENORITA OREO,OTHER,3 YEARS,SMALL,WHITE / BLACK,RABBIT SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A481203&location=MONT,
OWNER SUR,2/1/2024,SNOW,OTHER,11 MONTHS,MED,WHITE / BLACK,DWARF HOTOT,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A515462&location=MONT,
OWNER SUR,2/1/2024,MANUELA,OTHER,11 MONTHS,MED,WHITE / BROWN,DUTCH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A515461&location=MONT,
FOSTER,2/11/2024,ACE,DOG,1 YEAR 2 MONTHS,LARGE,WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A514726&location=MONT,
RETURN,2/22/2024,RIHANNA,DOG,2 YEARS,MED,BLACK / WHITE,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501305&location=MONT,
BOARDING,2/22/2024,* BRUCE,OTHER,NO AGE,SMALL,ORANGE,COLD WATER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516162&location=MONT,
BOARDING,2/22/2024,* PEACH,OTHER,NO AGE,SMALL,ORANGE,COLD WATER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516170&location=MONT,
BOARDING,2/22/2024,* MR. RAY,OTHER,NO AGE,SMALL,ORANGE,COLD WATER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516166&location=MONT,
BOARDING,2/22/2024,* BUBBLES,OTHER,NO AGE,SMALL,ORANGE,COLD WATER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516168&location=MONT,
BOARDING,2/22/2024,* CORAL,OTHER,NO AGE,SMALL,ORANGE,COLD WATER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516165&location=MONT,
BOARDING,2/22/2024,* NEMO,OTHER,NO AGE,SMALL,ORANGE,COLD WATER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516169&location=MONT,
BOARDING,2/22/2024,* CRUSH,OTHER,NO AGE,SMALL,ORANGE,COLD WATER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516164&location=MONT,
OWNER SUR,3/26/2024,*22 MOLLIE,OTHER,NO AGE,MED,BLACK,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517357&location=MONT,
BOARDING,2/22/2024,*DARLA,OTHER,NO AGE,SMALL,ORANGE,COLD WATER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516160&location=MONT,
BOARDING,2/22/2024,* MARLIN,OTHER,NO AGE,SMALL,ORANGE,COLD WATER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516161&location=MONT,
BOARDING,2/22/2024,* GILL,OTHER,NO AGE,SMALL,ORANGE,COLD WATER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516163&location=MONT,
BOARDING,2/22/2024,* SQUIRT,OTHER,NO AGE,SMALL,ORANGE,COLD WATER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516167&location=MONT,
OWNER SUR,2/28/2024,*FOZZIE,OTHER,1 YEAR 10 MONTHS,MED,TRI/BROWN,GUINEA PIG,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516372&location=MONT,
BOARDING,2/22/2024,*NIGEL,OTHER,NO AGE,SMALL,SILVER,COLD WATER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516172&location=MONT,
BOARDING,2/22/2024,* DORY,OTHER,NO AGE,SMALL,SILVER,COLD WATER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516171&location=MONT,
BOARDING,2/22/2024,* PEARL,OTHER,NO AGE,SMALL,WHITE / ORANGE,COLD WATER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516174&location=MONT,
BOARDING,2/22/2024,* DEB,OTHER,NO AGE,SMALL,WHITE / ORANGE,COLD WATER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516173&location=MONT,
OWNER SUR,2/28/2024,*CAMILLA,OTHER,1 YEAR 10 MONTHS,MED,TRICOLOR,GUINEA PIG,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516374&location=MONT,
OWNER SUR,2/28/2024,*RIZZO,OTHER,1 YEAR 10 MONTHS,MED,TRICOLOR,GUINEA PIG,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516373&location=MONT,
OWNER SUR,3/10/2024,TJ,BIRD,2 YEARS,SMALL,BLACK,BANTAM,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516756&location=MONT,
OWNER SUR,3/10/2024,SPICY,BIRD,2 YEARS,SMALL,RED,BANTAM,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516758&location=MONT,
OWNER SUR,3/10/2024,NOODLE,BIRD,2 YEARS,SMALL,BLACK / BROWN,BANTAM,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516757&location=MONT,
OWNER SUR,3/8/2024,HAZEL,DOG,1 YEAR 8 MONTHS,SMALL,BROWN / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A511893&location=MONT,
FOSTER,3/14/2024,*MISS PIGGY,OTHER,1 YEAR 10 MONTHS,MED,BLACK / WHITE,GUINEA PIG,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516371&location=MONT,
RETURN,3/14/2024,REMI,DOG,1 YEAR 1 MONTH,MED,BLACK / WHITE,LABRADOR RETR,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A515847&location=MONT,
OWNER SUR,2/29/2024,LUIGI,DOG,1 YEAR 7 MONTHS,LARGE,BLACK / WHITE,ALASK MALAMUTE,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A508984&location=MONT,
OWNER SUR,3/16/2024,CORY,BIRD,6 MONTHS,SMALL,RED,BANTAM,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517012&location=MONT,
OWNER SUR,3/16/2024,JUSTIN B,BIRD,6 MONTHS,MED,BROWN,BANTAM,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517013&location=MONT,
OWNER SUR,3/18/2024,SMOKE,DOG,4 YEARS,MED,BRINDLE,BOXER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A507654&location=MONT,
RETURN,3/13/2024,*CARDI B,DOG,3 YEARS,LARGE,BLACK / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A512779&location=MONT,
OWNER SUR,3/23/2024,FUNNY BOY,BIRD,NO AGE,SMALL,WHITE / TAN,TURKEY,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517238&location=MONT,
OWNER SUR,3/23/2024,TRICKEY BOY,BIRD,NO AGE,SMALL,WHITE / TAN,TURKEY,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517237&location=MONT,
FOSTER,2/2/2024,*SNOOPY,DOG,1 YEAR 9 MONTHS,MED,BLACK / WHITE,AMERICAN STAFF,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A506134&location=MONT,
FOSTER,3/25/2024,BLOCK,DOG,8 MONTHS,MED,GRAY / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A514368&location=MONT,
OWNER SUR,2/22/2024,MR MAGOO,DOG,2 YEARS,LARGE,GOLD,LABRADOR RETR,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493450&location=MONT,
OWNER SUR,3/25/2024,ROCKY,DOG,11 MONTHS,MED,WHITE / GRAY,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A515495&location=MONT,
STRAY,2/13/2024,*GIGANTE,DOG,2 YEARS,LARGE,BRINDLE / WHITE,MASTIFF,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A515885&location=MONT,"19500 FREDERICK RD, GERMANTOWN MD 20876"
STRAY,2/5/2024,*JULIUS,OTHER,1 YEAR 1 MONTH,SMALL,WHITE,FLORIDA WHITE,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A515574&location=MONT,"1600 DREXEL ST TAKOMA PARK MD, 20912"
STRAY,3/6/2024,*CHIQUITO,DOG,2 YEARS,LARGE,BLACK / TAN,GERM SHEPHERD / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516623&location=MONT,"22400 FREDERICK RD, CLARKSBURG MD 20871"
STRAY,2/24/2024,*SPOONS,DOG,2 YEARS,LARGE,BROWN / BRINDLE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516247&location=MONT,"13300 DARNESTOWN RD, GAITHERSBURG MD 20878"
STRAY,2/7/2024,*KIMMIE,DOG,3 YEARS,MED,BROWN / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A515664&location=MONT,"2100 HARLEQUIN TER, SILVER SPRING MD 20904"
STRAY,3/13/2024,*YODI,DOG,2 YEARS,MED,TAN / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516877&location=MONT,"2700 SWEET CLOVER CT, SILVER SPRING MD 20904"
STRAY,3/10/2024,*MANUEL,CAT,2 YEARS,MED,GRAY / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516742&location=MONT,"9000 MANCHESTER RD, SILVER SPRING MD 20901"
STRAY,2/24/2024,*BART,DOG,6 YEARS,MED,BROWN,LABRADOR RETR / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516230&location=MONT,"10500 DEMOCRACY BLVD, POTOMAC MD 20854"
STRAY,11/23/2023,RICKETTS,CAT,5 YEARS,SMALL,BRN TABBY / ORANGE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A512992&location=MONT,"600 BLOSSOM DR, ROCKVILLE MD 20850"
